dist_cd,cx,cy
119,180.8119897,200.7686161
123,168.0515209,216.9249528
126,180.8429467,223.4353274
99,163.4214779,148.923179
100,177.748111,151.1130444
101,157.6657819,169.0705728
131,179.049535,236.0301184
188,305.2003196,193.9327262
186,300.3946555,191.993524
156,264.6587514,194.6883982
161,243.4275886,192.1834326
93,217.3696867,161.8249126
97,212.6009551,162.5461732
702,217.3895453,160.8857899
703,217.0553058,163.0900693
90,213.6857444,160.0585916
102,179.7227556,166.3267076
103,192.0812748,170.5082043
114,124.7304278,187.0899995
111,188.2789278,178.0080259
104,207.306211,178.7042155
110,194.5284535,188.7180375
113,152.0166636,192.4123015
105,217.0851643,184.3060652
112,172.1609379,187.266018
109,205.9829762,190.6620822
107,212.4785246,196.0862484
106,223.2557497,193.534479
115,133.0427455,208.7811318
108,205.2778504,201.0234936
120,193.7597552,202.1477423
118,162.6673616,209.2313624
122,180.1470524,212.8840177
116,143.727843,218.9944507
121,195.5807844,212.7783343
127,200.1092752,218.8282607
117,151.9059264,224.3892481
128,209.4288973,220.6569836
130,165.1242328,229.8518997
129,201.4037265,231.1683857
124,167.5122204,240.7662874
125,174.9049974,244.7680545
164,259.5551326,198.2154853
162,248.9952509,193.9038125
177,285.4704831,193.9151623
163,254.4112536,197.4387958
190,312.0877999,197.6716134
179,288.7691312,200.6213932
178,295.1610488,197.784392
158,272.9803647,200.8970671
165,247.6429636,203.0697902
191,300.9763941,203.8035784
192,308.1400687,203.7773328
172,268.237745,206.5542967
193,315.9724386,206.5369569
194,293.8437419,208.6241982
166,241.338124,212.4506516
170,264.6160502,213.0483064
195,308.0471585,210.5941617
174,277.0378798,212.6081079
175,284.9357959,215.7195869
197,298.7516534,214.3782836
171,272.1489026,217.2905267
196,303.7419149,218.321549
198,292.236501,215.0250614
199,294.3130151,220.8041229
167,235.7073795,226.114472
200,300.7409698,230.0161473
706,280.2992649,199.8935324
140,219.9789133,159.3829007
754,235.5628245,164.543023
169,252.570594,214.7882072
