Name	Gender	Country	Sport	Event	Age	Height	Weight
Carina Horn	Women	South Africa	Athletics	100 metres	27	1.68	62
Phumlile Ndzinisa	Women	Swaziland	Athletics	100 metres	23	1.70	57
Mujinga Kambundji	Women	Switzerland	Athletics	100 metres	24	1.68	65
Taina Halasima	Women	Tonga	Athletics	100 metres	18	1.63	65
Kelly-Ann Baptiste	Women	Trinidad and Tobago	Athletics	100 metres	29	1.67	54
Khalifa St Fort	Women	Trinidad and Tobago	Athletics	100 metres	18	1.65	50
Michelle-Lee Ahye	Women	Trinidad and Tobago	Athletics	100 metres	24	1.60	64
Semoy Hackett	Women	Trinidad and Tobago	Athletics	100 metres	27	1.73	61
Khrystyna Stuy	Women	Ukraine	Athletics	100 metres	28	1.68	60
Natalia Pohrebniak	Women	Ukraine	Athletics	100 metres	28	1.71	63
Olesya Povkh	Women	Ukraine	Athletics	100 metres	28	1.67	63
English Gardner	Women	United States	Athletics	100 metres	24	1.68	54
Morolake Akinosun	Women	United States	Athletics	100 metres	22	1.63	60
Tianna Bartoletta	Women	United States	Athletics	100 metres	30	1.68	58
Tori Bowie	Women	United States	Athletics	100 metres	25	1.76	58
Tahesia Harrigan-Scott	Women	Virgin Islands GB	Athletics	100 metres	34	1.58	56
Juan Manuel Cano	Men	Argentina	Athletics	20 km walk	28	1.68	60
Chris Erickson	Men	Australia	Athletics	20 km walk	34	1.75	60
Dane Bird-Smith	Men	Australia	Athletics	20 km walk	24	1.87	72
Jared Tallent	Men	Australia	Athletics	20 km walk	31	1.78	58
Rhydian Cowley	Men	Australia	Athletics	20 km walk	25	1.81	65
Aliaksandr Liakhovich	Men	Belarus	Athletics	20 km walk	27	1.72	65
Dzianis Simanovich	Men	Belarus	Athletics	20 km walk	29	1.78	64
Marco Antonio Rodriguez	Men	Bolivia	Athletics	20 km walk	22	1.80	66
Caio Bonfim	Men	Brazil	Athletics	20 km walk	25	1.74	60
Jose Alessandro Bagio	Men	Brazil	Athletics	20 km walk	35	1.72	63
Moacir Zimmermann	Men	Brazil	Athletics	20 km walk	32	1.84	70
Benjamin Thorne	Men	Canada	Athletics	20 km walk	23	1.80	56
Evan Dunfee	Men	Canada	Athletics	20 km walk	25	1.86	65
Inyaki Gomez	Men	Canada	Athletics	20 km walk	28	1.72	59
Yerko Araya	Men	Chile	Athletics	20 km walk	30	1.78	64
Ding Chen	Men	China	Athletics	20 km walk	24	1.75	62
Zelin Cai	Men	China	Athletics	20 km walk	25	1.75	55
Zhen Wang	Men	China	Athletics	20 km walk	24	1.75	55
Eider Arevalo	Men	Colombia	Athletics	20 km walk	23	1.65	60
Luis Fernando Lopez	Men	Colombia	Athletics	20 km walk	37	1.66	60
Manuel Esteban Soto	Men	Colombia	Athletics	20 km walk	22	1.70	62
Andres Chocho	Men	Ecuador	Athletics	20 km walk	32	1.70	66
Brian Pintado	Men	Ecuador	Athletics	20 km walk	21	1.68	57
Mauricio Arteaga	Men	Ecuador	Athletics	20 km walk	28	1.77	68
Kevin Campion	Men	France	Athletics	20 km walk	28	1.83	63
Christopher Linke	Men	Germany	Athletics	20 km walk	27	1.91	66
Hagen Pohle	Men	Germany	Athletics	20 km walk	24	1.78	64
Nils Brembach	Men	Germany	Athletics	20 km walk	23	1.84	70
Tom Bosworth	Men	Great Britain	Athletics	20 km walk	26	1.78	54
Alexandros Papamichail	Men	Greece	Athletics	20 km walk	27	1.78	63
Erick Barrondo	Men	Guatemala	Athletics	20 km walk	25	1.78	60
Jose Maria Raymundo	Men	Guatemala	Athletics	20 km walk	22	1.56	49
Mate Helebrandt	Men	Hungary	Athletics	20 km walk	27	1.74	59
Gurmeet Singh	Men	India	Athletics	20 km walk	31	1.72	60
Manish Singh	Men	India	Athletics	20 km walk	25	1.74	65
Hamidreza Zooravand	Men	Iran	Athletics	20 km walk	26	1.76	66
Alex Wright	Men	Ireland	Athletics	20 km walk	25	1.75	62
Brendan Boyce	Men	Ireland	Athletics	20 km walk	29	1.83	76
Robert Heffernan	Men	Ireland	Athletics	20 km walk	38	1.71	58
Matteo Giupponi	Men	Italy	Athletics	20 km walk	27	1.89	70
Daisuke Matsunaga	Men	Japan	Athletics	20 km walk	21	1.74	60
Eiki Takahashi	Men	Japan	Athletics	20 km walk	23	1.76	58
Isamu Fujisawa	Men	Japan	Athletics	20 km walk	28	1.65	54
Georgiy Sheiko	Men	Kazakhstan	Athletics	20 km walk	26	1.84	68
Samuel Ireri Gathimba	Men	Kenya	Athletics	20 km walk	28	1.65	57
Simon Wachira	Men	Kenya	Athletics	20 km walk	32	1.70	65
Marius Savelskis	Men	Lithuania	Athletics	20 km walk	22	1.79	70
Marius Ziukas	Men	Lithuania	Athletics	20 km walk	31	1.85	72
Ever Palma	Men	Mexico	Athletics	20 km walk	24	1.66	62
Julio Cesar Salazar	Men	Mexico	Athletics	20 km walk	23	1.76	60
Pedro Daniel Gomez	Men	Mexico	Athletics	20 km walk	25	1.78	70
Quentin Rew	Men	New Zealand	Athletics	20 km walk	32	1.74	60
Paolo Yurivilca	Men	Peru	Athletics	20 km walk	20	1.69	62
Artur Brzozowski	Men	Poland	Athletics	20 km walk	31	1.74	67
Jakub Jelonek	Men	Poland	Athletics	20 km walk	31	1.85	67
Lukasz Nowak	Men	Poland	Athletics	20 km walk	27	1.94	76
Joao Vieira	Men	Portugal	Athletics	20 km walk	40	1.75	59
Sergio Vieira	Men	Portugal	Athletics	20 km walk	40	1.74	60
Anton Kucmin	Men	Slovakia	Athletics	20 km walk	32	1.80	64
Lebogang Shange	Men	South Africa	Athletics	20 km walk	26	1.60	56
Wayne Snyman	Men	South Africa	Athletics	20 km walk	31	1.77	65
Byeongkwang Choe	Men	South Korea	Athletics	20 km walk	25	1.85	73
Hyunsub Kim	Men	South Korea	Athletics	20 km walk	31	1.77	61
Youngjun Byun	Men	South Korea	Athletics	20 km walk	32	1.75	59
Alvaro Martin	Men	Spain	Athletics	20 km walk	22	1.79	63
Francisco Arcilla	Men	Spain	Athletics	20 km walk	32	1.71	58
Miguel Angel Lopez	Men	Spain	Athletics	20 km walk	28	1.81	70
Perseus Karlstrom	Men	Sweden	Athletics	20 km walk	26	1.84	73
Hassanine Sebei	Men	Tunisia	Athletics	20 km walk	32	1.77	60
Ersin Tacir	Men	Turkey	Athletics	20 km walk	31	1.70	61
Mert Atli	Men	Turkey	Athletics	20 km walk	23	1.91	70
Igor Glavan	Men	Ukraine	Athletics	20 km walk	25	1.68	61
Nazar Kovalenko	Men	Ukraine	Athletics	20 km walk	29	1.77	68
Ruslan Dmytrenko	Men	Ukraine	Athletics	20 km walk	30	1.80	67
Richard Vargas	Men	Venezuela	Athletics	20 km walk	21	1.75	58
Thanh Ngung Nguyen	Men	Vietnam	Athletics	20 km walk	24	1.65	55
Diana Khubeseryan	Women	Armenia	Athletics	200 metres	22	1.70	60
Gayane Chiloyan	Women	Armenia	Athletics	200 metres	15	1.64	54
Ella Nelson	Women	Australia	Athletics	200 metres	22	1.69	58
Anthonique Strachan	Women	Bahamas	Athletics	200 metres	22	1.68	57
Shaunae Miller	Women	Bahamas	Athletics	200 metres	22	1.85	69
Sheniqua Ferguson	Women	Bahamas	Athletics	200 metres	26	1.71	57
Edidiong Ofonime Odiong	Women	Bahrain	Athletics	200 metres	19	1.67	58
Salwa Eid Naser	Women	Bahrain	Athletics	200 metres	18	1.68	54
Sada Williams	Women	Barbados	Athletics	200 metres	18	1.78	53
Cynthia Bolingo	Women	Belgium	Athletics	200 metres	23	1.65	53
Olivia Borlee	Women	Belgium	Athletics	200 metres	30	1.72	57
Ana Claudia Silva	Women	Brazil	Athletics	200 metres	27	1.58	56
Kauiza Venancio	Women	Brazil	Athletics	200 metres	29	1.64	58
Rosangela Santos	Women	Brazil	Athletics	200 metres	25	1.66	64
Vitoria Cristina Rosa	Women	Brazil	Athletics	200 metres	20	1.70	60
Maizurah Abdul Rahim	Women	Brunei Darussalam	Athletics	200 metres	17	1.47	50
Ivet Lalova-Collio	Women	Bulgaria	Athletics	200 metres	32	1.68	56
Crystal Emmanuel	Women	Canada	Athletics	200 metres	24	1.70	59
Kimberly Hyacinthe	Women	Canada	Athletics	200 metres	27	1.79	65
Isidora Jimenez	Women	Chile	Athletics	200 metres	22	1.70	56
Arialis J. Gandulla	Women	Cuba	Athletics	200 metres	21	1.70	75
Eleni Artymata	Women	Cyprus	Athletics	200 metres	30	1.77	62
Ramona Papaioannou	Women	Cyprus	Athletics	200 metres	27	1.70	63
Mariely Sanchez	Women	Dominican Republic	Athletics	200 metres	27	1.61	52
Angela Tenorio	Women	Ecuador	Athletics	200 metres	20	1.63	56
Gina Luckenkemper	Women	Germany	Athletics	200 metres	19	1.70	56
Lisa Mayer	Women	Germany	Athletics	200 metres	20	1.71	57
Nadine Gonska	Women	Germany	Athletics	200 metres	26	1.68	58
Dina Asher-Smith	Women	Great Britain	Athletics	200 metres	20	1.64	55
Jodie Williams	Women	Great Britain	Athletics	200 metres	22	1.73	65
Maria Belimpasaki	Women	Greece	Athletics	200 metres	25	1.75	64
Brenessa Thompson	Women	Guyana	Athletics	200 metres	20	1.63	62
Srabani Nanda	Women	India	Athletics	200 metres	25	1.64	54
Gloria Hooper	Women	Italy	Athletics	200 metres	24	1.74	63
Marie-Josee Ta Lou	Women	Ivory Coast	Athletics	200 metres	27	1.59	50
Murielle Ahoure	Women	Ivory Coast	Athletics	200 metres	28	1.65	58
Elaine Thompson	Women	Jamaica	Athletics	200 metres	24	1.67	57
Kali Davis-White	Women	Jamaica	Athletics	200 metres	21	1.70	64
