Name	Gender	Country	Sport	Event	Age	Height	Weight
Yi Mao	Women	China	Gymnastics	Floor exercise	16	1.51	35
Yilin Fan	Women	China	Gymnastics	Floor exercise	16	1.48	37
Catalina Elena Escobar Gomez	Women	Colombia	Gymnastics	Floor exercise	25	1.56	50
Ana Derek	Women	Croatia	Gymnastics	Floor exercise	17	1.64	58
Marcia Vidiaux	Women	Cuba	Gymnastics	Floor exercise	17	1.43	41
Sherine Elzeiny	Women	Egypt	Gymnastics	Floor exercise	25	1.60	50
Loan His	Women	France	Gymnastics	Floor exercise	17	1.60	51
Louise Vanhille	Women	France	Gymnastics	Floor exercise	17	1.67	55
Marine Boyer	Women	France	Gymnastics	Floor exercise	16	1.60	50
Marine Brevet	Women	France	Gymnastics	Floor exercise	21	1.60	52
Oreane Lechenault	Women	France	Gymnastics	Floor exercise	15	1.34	37
Elisabeth Seitz	Women	Germany	Gymnastics	Floor exercise	22	1.61	57
Kim Bui	Women	Germany	Gymnastics	Floor exercise	27	1.56	49
Pauline Schaefer	Women	Germany	Gymnastics	Floor exercise	19	1.62	55
Sophie Scheder	Women	Germany	Gymnastics	Floor exercise	19	1.67	56
Tabea Alt	Women	Germany	Gymnastics	Floor exercise	16	1.58	50
Amy Tinkler	Women	Great Britain	Gymnastics	Floor exercise	16	1.52	47
Claudia Fragapane	Women	Great Britain	Gymnastics	Floor exercise	18	1.37	43
Elissa Downie	Women	Great Britain	Gymnastics	Floor exercise	17	1.58	58
Rebecca Downie	Women	Great Britain	Gymnastics	Floor exercise	24	1.56	54
Ruby Harrold	Women	Great Britain	Gymnastics	Floor exercise	20	1.62	56
Vasiliki Millousi	Women	Greece	Gymnastics	Floor exercise	32	1.57	45
Ana Sofia Gomez	Women	Guatemala	Gymnastics	Floor exercise	20	1.56	46
Zsofia Kovacs	Women	Hungary	Gymnastics	Floor exercise	16	1.58	49
Irina Sazonova	Women	Iceland	Gymnastics	Floor exercise	24	1.60	55
Dipa Karmakar	Women	India	Gymnastics	Floor exercise	23	1.51	47
Ellis Oreilly	Women	Ireland	Gymnastics	Floor exercise	18	1.64	63
Carlotta Ferlito	Women	Italy	Gymnastics	Floor exercise	21	1.60	50
Elisa Meneghini	Women	Italy	Gymnastics	Floor exercise	19	1.50	42
Erika Fasana	Women	Italy	Gymnastics	Floor exercise	20	1.49	44
Martina Rizzelli	Women	Italy	Gymnastics	Floor exercise	18	1.53	47
Vanessa Ferrari	Women	Italy	Gymnastics	Floor exercise	25	1.45	45
Toni-Ann Williams	Women	Jamaica	Gymnastics	Floor exercise	20	1.55	52
Aiko Sugihara	Women	Japan	Gymnastics	Floor exercise	16	1.46	35
Asuka Teramoto	Women	Japan	Gymnastics	Floor exercise	20	1.45	37
Mai Murakami	Women	Japan	Gymnastics	Floor exercise	20	1.46	48
Sae Miyakawa	Women	Japan	Gymnastics	Floor exercise	16	1.45	34
Yuki Uchiyama	Women	Japan	Gymnastics	Floor exercise	18	1.59	49
Alexa Moreno	Women	Mexico	Gymnastics	Floor exercise	22	1.47	45
C̩line van Gerner	Women	Netherlands	Gymnastics	Floor exercise	21	1.58	51
Eythora Thorsdottir	Women	Netherlands	Gymnastics	Floor exercise	17	1.60	47
Lieke Wevers	Women	Netherlands	Gymnastics	Floor exercise	24	1.67	54
Sanne Wevers	Women	Netherlands	Gymnastics	Floor exercise	24	1.56	46
Vera van Pol	Women	Netherlands	Gymnastics	Floor exercise	22	1.57	54
Courtney McGregor	Women	New Zealand	Gymnastics	Floor exercise	17	1.59	47
Un Jong Hong	Women	North Korea	Gymnastics	Floor exercise	27	1.56	47
Isabella Amado	Women	Panama	Gymnastics	Floor exercise	20	1.55	59
Ariana Orrego	Women	Peru	Gymnastics	Floor exercise	17	1.57	49
Katarzyna Jurkowska-Kowalska	Women	Poland	Gymnastics	Floor exercise	24	1.61	50
Filipa Martins	Women	Portugal	Gymnastics	Floor exercise	20	1.63	55
Catalina Ponor	Women	Romania	Gymnastics	Floor exercise	28	1.56	47
Aliya Mustafina	Women	Russia	Gymnastics	Floor exercise	21	1.61	48
Angelina Melnikova	Women	Russia	Gymnastics	Floor exercise	16	1.51	44
Daria Spiridonova	Women	Russia	Gymnastics	Floor exercise	18	1.56	45
Maria Paseka	Women	Russia	Gymnastics	Floor exercise	21	1.61	48
Seda Tutkhalian	Women	Russia	Gymnastics	Floor exercise	17	1.42	35
Barbora Mokosova	Women	Slovakia	Gymnastics	Floor exercise	19	1.68	62
Teja Belak	Women	Slovenia	Gymnastics	Floor exercise	22	1.57	48
Ana Perez	Women	Spain	Gymnastics	Floor exercise	18	1.51	45
Emma Larsson	Women	Sweden	Gymnastics	Floor exercise	17	1.47	40
Giulia Steingruber	Women	Switzerland	Gymnastics	Floor exercise	22	1.60	56
Marisa Dick	Women	Trinidad and Tobago	Gymnastics	Floor exercise	19	1.53	47
Tutya Yilmaz	Women	Turkey	Gymnastics	Floor exercise	17	1.50	48
Angelina Kysla	Women	Ukraine	Gymnastics	Floor exercise	25	1.58	49
Alexandra Raisman	Women	United States	Gymnastics	Floor exercise	22	1.58	52
Gabrielle Douglas	Women	United States	Gymnastics	Floor exercise	20	1.50	49
Lauren Hernandez	Women	United States	Gymnastics	Floor exercise	16	1.53	48
Madison Kocian	Women	United States	Gymnastics	Floor exercise	19	1.58	46
Simone Biles	Women	United States	Gymnastics	Floor exercise	19	1.45	47
Oksana Chusovitina	Women	Uzbekistan	Gymnastics	Floor exercise	41	1.53	43
Jessica Brizeida Lopez Arocha	Women	Venezuela	Gymnastics	Floor exercise	30	1.53	47
Thi Ha Thanh Phan	Women	Vietnam	Gymnastics	Floor exercise	24	1.63	48
Farah Boufadene	Women	Algeria	Gymnastics	Individual all-around	17	1.55	55
Ailen Valente	Women	Argentina	Gymnastics	Individual all-around	20	1.67	58
Houry Gebeshian	Women	Armenia	Gymnastics	Individual all-around	27	1.52	48
Larrissa Miller	Women	Australia	Gymnastics	Individual all-around	24	1.59	50
Lisa Ecker	Women	Austria	Gymnastics	Individual all-around	23	1.57	55
Kylie Rei Dickson	Women	Belarus	Gymnastics	Individual all-around	17	1.60	50
Gaelle Mys	Women	Belgium	Gymnastics	Individual all-around	24	1.44	57
Laura Waem	Women	Belgium	Gymnastics	Individual all-around	19	1.60	54
Nina Derwael	Women	Belgium	Gymnastics	Individual all-around	16	1.65	46
Rune Hermans	Women	Belgium	Gymnastics	Individual all-around	17	1.59	48
Senna Deriks	Women	Belgium	Gymnastics	Individual all-around	15	1.54	46
Daniele Hypolito	Women	Brazil	Gymnastics	Individual all-around	31	1.47	40
Flavia Saraiva	Women	Brazil	Gymnastics	Individual all-around	16	1.33	31
Jade Barbosa	Women	Brazil	Gymnastics	Individual all-around	25	1.51	45
Lorrane Oliveira	Women	Brazil	Gymnastics	Individual all-around	18	1.53	50
Rebeca Andrade	Women	Brazil	Gymnastics	Individual all-around	17	1.45	45
Brittany Rogers	Women	Canada	Gymnastics	Individual all-around	23	1.65	60
Elsabeth Black	Women	Canada	Gymnastics	Individual all-around	20	1.55	56
Isabela Onyshko	Women	Canada	Gymnastics	Individual all-around	18	1.57	50
Rose Woo	Women	Canada	Gymnastics	Individual all-around	16	1.45	46
Shallon Olsen	Women	Canada	Gymnastics	Individual all-around	16	1.58	52
Simona Castro	Women	Chile	Gymnastics	Individual all-around	27	1.60	54
Chunsong Shang	Women	China	Gymnastics	Individual all-around	20	1.43	34
Jiaxin Tan	Women	China	Gymnastics	Individual all-around	19	1.48	36
Yan Wang	Women	China	Gymnastics	Individual all-around	16	1.40	33
Yi Mao	Women	China	Gymnastics	Individual all-around	16	1.51	35
Yilin Fan	Women	China	Gymnastics	Individual all-around	16	1.48	37
Catalina Elena Escobar Gomez	Women	Colombia	Gymnastics	Individual all-around	25	1.56	50
Ana Derek	Women	Croatia	Gymnastics	Individual all-around	17	1.64	58
Marcia Vidiaux	Women	Cuba	Gymnastics	Individual all-around	17	1.43	41
Sherine Elzeiny	Women	Egypt	Gymnastics	Individual all-around	25	1.60	50
Loan His	Women	France	Gymnastics	Individual all-around	17	1.60	51
Louise Vanhille	Women	France	Gymnastics	Individual all-around	17	1.67	55
Marine Boyer	Women	France	Gymnastics	Individual all-around	16	1.60	50
Marine Brevet	Women	France	Gymnastics	Individual all-around	21	1.60	52
Oreane Lechenault	Women	France	Gymnastics	Individual all-around	15	1.34	37
Elisabeth Seitz	Women	Germany	Gymnastics	Individual all-around	22	1.61	57
Kim Bui	Women	Germany	Gymnastics	Individual all-around	27	1.56	49
Pauline Schaefer	Women	Germany	Gymnastics	Individual all-around	19	1.62	55
Sophie Scheder	Women	Germany	Gymnastics	Individual all-around	19	1.67	56
Tabea Alt	Women	Germany	Gymnastics	Individual all-around	16	1.58	50
Amy Tinkler	Women	Great Britain	Gymnastics	Individual all-around	16	1.52	47
Claudia Fragapane	Women	Great Britain	Gymnastics	Individual all-around	18	1.37	43
Elissa Downie	Women	Great Britain	Gymnastics	Individual all-around	17	1.58	58
Rebecca Downie	Women	Great Britain	Gymnastics	Individual all-around	24	1.56	54
Ruby Harrold	Women	Great Britain	Gymnastics	Individual all-around	20	1.62	56
Vasiliki Millousi	Women	Greece	Gymnastics	Individual all-around	32	1.57	45
Ana Sofia Gomez	Women	Guatemala	Gymnastics	Individual all-around	20	1.56	46
Zsofia Kovacs	Women	Hungary	Gymnastics	Individual all-around	16	1.58	49
Irina Sazonova	Women	Iceland	Gymnastics	Individual all-around	24	1.60	55
Dipa Karmakar	Women	India	Gymnastics	Individual all-around	23	1.51	47
Ellis Oreilly	Women	Ireland	Gymnastics	Individual all-around	18	1.64	63
Carlotta Ferlito	Women	Italy	Gymnastics	Individual all-around	21	1.60	50
Elisa Meneghini	Women	Italy	Gymnastics	Individual all-around	19	1.50	42
Erika Fasana	Women	Italy	Gymnastics	Individual all-around	20	1.49	44
Martina Rizzelli	Women	Italy	Gymnastics	Individual all-around	18	1.53	47
Vanessa Ferrari	Women	Italy	Gymnastics	Individual all-around	25	1.45	45
Toni-Ann Williams	Women	Jamaica	Gymnastics	Individual all-around	20	1.55	52
Aiko Sugihara	Women	Japan	Gymnastics	Individual all-around	16	1.46	35
Asuka Teramoto	Women	Japan	Gymnastics	Individual all-around	20	1.45	37
Mai Murakami	Women	Japan	Gymnastics	Individual all-around	20	1.46	48
Sae Miyakawa	Women	Japan	Gymnastics	Individual all-around	16	1.45	34
Yuki Uchiyama	Women	Japan	Gymnastics	Individual all-around	18	1.59	49
Alexa Moreno	Women	Mexico	Gymnastics	Individual all-around	22	1.47	45
C̩line van Gerner	Women	Netherlands	Gymnastics	Individual all-around	21	1.58	51
Eythora Thorsdottir	Women	Netherlands	Gymnastics	Individual all-around	17	1.60	47
Lieke Wevers	Women	Netherlands	Gymnastics	Individual all-around	24	1.67	54
Sanne Wevers	Women	Netherlands	Gymnastics	Individual all-around	24	1.56	46
Vera van Pol	Women	Netherlands	Gymnastics	Individual all-around	22	1.57	54
Courtney McGregor	Women	New Zealand	Gymnastics	Individual all-around	17	1.59	47
Un Jong Hong	Women	North Korea	Gymnastics	Individual all-around	27	1.56	47
Isabella Amado	Women	Panama	Gymnastics	Individual all-around	20	1.55	59
Ariana Orrego	Women	Peru	Gymnastics	Individual all-around	17	1.57	49
Katarzyna Jurkowska-Kowalska	Women	Poland	Gymnastics	Individual all-around	24	1.61	50
Filipa Martins	Women	Portugal	Gymnastics	Individual all-around	20	1.63	55
Catalina Ponor	Women	Romania	Gymnastics	Individual all-around	28	1.56	47
Aliya Mustafina	Women	Russia	Gymnastics	Individual all-around	21	1.61	48
Angelina Melnikova	Women	Russia	Gymnastics	Individual all-around	16	1.51	44
Daria Spiridonova	Women	Russia	Gymnastics	Individual all-around	18	1.56	45
Maria Paseka	Women	Russia	Gymnastics	Individual all-around	21	1.61	48
Seda Tutkhalian	Women	Russia	Gymnastics	Individual all-around	17	1.42	35
Barbora Mokosova	Women	Slovakia	Gymnastics	Individual all-around	19	1.68	62
Teja Belak	Women	Slovenia	Gymnastics	Individual all-around	22	1.57	48
Ana Perez	Women	Spain	Gymnastics	Individual all-around	18	1.51	45
Emma Larsson	Women	Sweden	Gymnastics	Individual all-around	17	1.47	40
Giulia Steingruber	Women	Switzerland	Gymnastics	Individual all-around	22	1.60	56
Marisa Dick	Women	Trinidad and Tobago	Gymnastics	Individual all-around	19	1.53	47
Tutya Yilmaz	Women	Turkey	Gymnastics	Individual all-around	17	1.50	48
Angelina Kysla	Women	Ukraine	Gymnastics	Individual all-around	25	1.58	49
Alexandra Raisman	Women	United States	Gymnastics	Individual all-around	22	1.58	52
Gabrielle Douglas	Women	United States	Gymnastics	Individual all-around	20	1.50	49
Lauren Hernandez	Women	United States	Gymnastics	Individual all-around	16	1.53	48
Madison Kocian	Women	United States	Gymnastics	Individual all-around	19	1.58	46
Simone Biles	Women	United States	Gymnastics	Individual all-around	19	1.45	47
Oksana Chusovitina	Women	Uzbekistan	Gymnastics	Individual all-around	41	1.53	43
Jessica Brizeida Lopez Arocha	Women	Venezuela	Gymnastics	Individual all-around	30	1.53	47
Thi Ha Thanh Phan	Women	Vietnam	Gymnastics	Individual all-around	24	1.63	48
Farah Boufadene	Women	Algeria	Gymnastics	Uneven bars	17	1.55	55
Ailen Valente	Women	Argentina	Gymnastics	Uneven bars	20	1.67	58
Houry Gebeshian	Women	Armenia	Gymnastics	Uneven bars	27	1.52	48
Larrissa Miller	Women	Australia	Gymnastics	Uneven bars	24	1.59	50
Lisa Ecker	Women	Austria	Gymnastics	Uneven bars	23	1.57	55
Kylie Rei Dickson	Women	Belarus	Gymnastics	Uneven bars	17	1.60	50
Gaelle Mys	Women	Belgium	Gymnastics	Uneven bars	24	1.44	57
Laura Waem	Women	Belgium	Gymnastics	Uneven bars	19	1.60	54
Nina Derwael	Women	Belgium	Gymnastics	Uneven bars	16	1.65	46
Rune Hermans	Women	Belgium	Gymnastics	Uneven bars	17	1.59	48
Senna Deriks	Women	Belgium	Gymnastics	Uneven bars	15	1.54	46
Daniele Hypolito	Women	Brazil	Gymnastics	Uneven bars	31	1.47	40
Flavia Saraiva	Women	Brazil	Gymnastics	Uneven bars	16	1.33	31
Jade Barbosa	Women	Brazil	Gymnastics	Uneven bars	25	1.51	45
Lorrane Oliveira	Women	Brazil	Gymnastics	Uneven bars	18	1.53	50
Rebeca Andrade	Women	Brazil	Gymnastics	Uneven bars	17	1.45	45
Brittany Rogers	Women	Canada	Gymnastics	Uneven bars	23	1.65	60
Elsabeth Black	Women	Canada	Gymnastics	Uneven bars	20	1.55	56
Isabela Onyshko	Women	Canada	Gymnastics	Uneven bars	18	1.57	50
Rose Woo	Women	Canada	Gymnastics	Uneven bars	16	1.45	46
Shallon Olsen	Women	Canada	Gymnastics	Uneven bars	16	1.58	52
Simona Castro	Women	Chile	Gymnastics	Uneven bars	27	1.60	54
Chunsong Shang	Women	China	Gymnastics	Uneven bars	20	1.43	34
Jiaxin Tan	Women	China	Gymnastics	Uneven bars	19	1.48	36
Yan Wang	Women	China	Gymnastics	Uneven bars	16	1.40	33
Yi Mao	Women	China	Gymnastics	Uneven bars	16	1.51	35
Yilin Fan	Women	China	Gymnastics	Uneven bars	16	1.48	37
Catalina Elena Escobar Gomez	Women	Colombia	Gymnastics	Uneven bars	25	1.56	50
Ana Derek	Women	Croatia	Gymnastics	Uneven bars	17	1.64	58
Marcia Vidiaux	Women	Cuba	Gymnastics	Uneven bars	17	1.43	41
Sherine Elzeiny	Women	Egypt	Gymnastics	Uneven bars	25	1.60	50
Loan His	Women	France	Gymnastics	Uneven bars	17	1.60	51
Louise Vanhille	Women	France	Gymnastics	Uneven bars	17	1.67	55
Marine Boyer	Women	France	Gymnastics	Uneven bars	16	1.60	50
Marine Brevet	Women	France	Gymnastics	Uneven bars	21	1.60	52
Oreane Lechenault	Women	France	Gymnastics	Uneven bars	15	1.34	37
Elisabeth Seitz	Women	Germany	Gymnastics	Uneven bars	22	1.61	57
Kim Bui	Women	Germany	Gymnastics	Uneven bars	27	1.56	49
Pauline Schaefer	Women	Germany	Gymnastics	Uneven bars	19	1.62	55
Sophie Scheder	Women	Germany	Gymnastics	Uneven bars	19	1.67	56
Tabea Alt	Women	Germany	Gymnastics	Uneven bars	16	1.58	50
Amy Tinkler	Women	Great Britain	Gymnastics	Uneven bars	16	1.52	47
Claudia Fragapane	Women	Great Britain	Gymnastics	Uneven bars	18	1.37	43
Elissa Downie	Women	Great Britain	Gymnastics	Uneven bars	17	1.58	58
Rebecca Downie	Women	Great Britain	Gymnastics	Uneven bars	24	1.56	54
Ruby Harrold	Women	Great Britain	Gymnastics	Uneven bars	20	1.62	56
Vasiliki Millousi	Women	Greece	Gymnastics	Uneven bars	32	1.57	45
Ana Sofia Gomez	Women	Guatemala	Gymnastics	Uneven bars	20	1.56	46
Zsofia Kovacs	Women	Hungary	Gymnastics	Uneven bars	16	1.58	49
Irina Sazonova	Women	Iceland	Gymnastics	Uneven bars	24	1.60	55
Dipa Karmakar	Women	India	Gymnastics	Uneven bars	23	1.51	47
Ellis Oreilly	Women	Ireland	Gymnastics	Uneven bars	18	1.64	63
Carlotta Ferlito	Women	Italy	Gymnastics	Uneven bars	21	1.60	50
Elisa Meneghini	Women	Italy	Gymnastics	Uneven bars	19	1.50	42
Erika Fasana	Women	Italy	Gymnastics	Uneven bars	20	1.49	44
Martina Rizzelli	Women	Italy	Gymnastics	Uneven bars	18	1.53	47
Vanessa Ferrari	Women	Italy	Gymnastics	Uneven bars	25	1.45	45
Toni-Ann Williams	Women	Jamaica	Gymnastics	Uneven bars	20	1.55	52
Aiko Sugihara	Women	Japan	Gymnastics	Uneven bars	16	1.46	35
Asuka Teramoto	Women	Japan	Gymnastics	Uneven bars	20	1.45	37
Mai Murakami	Women	Japan	Gymnastics	Uneven bars	20	1.46	48
Sae Miyakawa	Women	Japan	Gymnastics	Uneven bars	16	1.45	34
Yuki Uchiyama	Women	Japan	Gymnastics	Uneven bars	18	1.59	49
Alexa Moreno	Women	Mexico	Gymnastics	Uneven bars	22	1.47	45
C̩line van Gerner	Women	Netherlands	Gymnastics	Uneven bars	21	1.58	51
Eythora Thorsdottir	Women	Netherlands	Gymnastics	Uneven bars	17	1.60	47
Lieke Wevers	Women	Netherlands	Gymnastics	Uneven bars	24	1.67	54
Sanne Wevers	Women	Netherlands	Gymnastics	Uneven bars	24	1.56	46
Vera van Pol	Women	Netherlands	Gymnastics	Uneven bars	22	1.57	54
Courtney McGregor	Women	New Zealand	Gymnastics	Uneven bars	17	1.59	47
Un Jong Hong	Women	North Korea	Gymnastics	Uneven bars	27	1.56	47
Isabella Amado	Women	Panama	Gymnastics	Uneven bars	20	1.55	59
Ariana Orrego	Women	Peru	Gymnastics	Uneven bars	17	1.57	49
Katarzyna Jurkowska-Kowalska	Women	Poland	Gymnastics	Uneven bars	24	1.61	50
Filipa Martins	Women	Portugal	Gymnastics	Uneven bars	20	1.63	55
Catalina Ponor	Women	Romania	Gymnastics	Uneven bars	28	1.56	47
Aliya Mustafina	Women	Russia	Gymnastics	Uneven bars	21	1.61	48
Angelina Melnikova	Women	Russia	Gymnastics	Uneven bars	16	1.51	44
Daria Spiridonova	Women	Russia	Gymnastics	Uneven bars	18	1.56	45
Maria Paseka	Women	Russia	Gymnastics	Uneven bars	21	1.61	48
Seda Tutkhalian	Women	Russia	Gymnastics	Uneven bars	17	1.42	35
Barbora Mokosova	Women	Slovakia	Gymnastics	Uneven bars	19	1.68	62
Teja Belak	Women	Slovenia	Gymnastics	Uneven bars	22	1.57	48
Ana Perez	Women	Spain	Gymnastics	Uneven bars	18	1.51	45
Emma Larsson	Women	Sweden	Gymnastics	Uneven bars	17	1.47	40
Giulia Steingruber	Women	Switzerland	Gymnastics	Uneven bars	22	1.60	56
Marisa Dick	Women	Trinidad and Tobago	Gymnastics	Uneven bars	19	1.53	47
Tutya Yilmaz	Women	Turkey	Gymnastics	Uneven bars	17	1.50	48
Angelina Kysla	Women	Ukraine	Gymnastics	Uneven bars	25	1.58	49
Alexandra Raisman	Women	United States	Gymnastics	Uneven bars	22	1.58	52
Gabrielle Douglas	Women	United States	Gymnastics	Uneven bars	20	1.50	49
Lauren Hernandez	Women	United States	Gymnastics	Uneven bars	16	1.53	48
Madison Kocian	Women	United States	Gymnastics	Uneven bars	19	1.58	46
Simone Biles	Women	United States	Gymnastics	Uneven bars	19	1.45	47
Oksana Chusovitina	Women	Uzbekistan	Gymnastics	Uneven bars	41	1.53	43
Jessica Brizeida Lopez Arocha	Women	Venezuela	Gymnastics	Uneven bars	30	1.53	47
Thi Ha Thanh Phan	Women	Vietnam	Gymnastics	Uneven bars	24	1.63	48
Farah Boufadene	Women	Algeria	Gymnastics	Vault	17	1.55	55
Ailen Valente	Women	Argentina	Gymnastics	Vault	20	1.67	58
Houry Gebeshian	Women	Armenia	Gymnastics	Vault	27	1.52	48
Larrissa Miller	Women	Australia	Gymnastics	Vault	24	1.59	50
Lisa Ecker	Women	Austria	Gymnastics	Vault	23	1.57	55
Kylie Rei Dickson	Women	Belarus	Gymnastics	Vault	17	1.60	50
Gaelle Mys	Women	Belgium	Gymnastics	Vault	24	1.44	57
Laura Waem	Women	Belgium	Gymnastics	Vault	19	1.60	54
Nina Derwael	Women	Belgium	Gymnastics	Vault	16	1.65	46
Rune Hermans	Women	Belgium	Gymnastics	Vault	17	1.59	48
Senna Deriks	Women	Belgium	Gymnastics	Vault	15	1.54	46
Daniele Hypolito	Women	Brazil	Gymnastics	Vault	31	1.47	40
Flavia Saraiva	Women	Brazil	Gymnastics	Vault	16	1.33	31
Jade Barbosa	Women	Brazil	Gymnastics	Vault	25	1.51	45
Lorrane Oliveira	Women	Brazil	Gymnastics	Vault	18	1.53	50
Rebeca Andrade	Women	Brazil	Gymnastics	Vault	17	1.45	45
Brittany Rogers	Women	Canada	Gymnastics	Vault	23	1.65	60
Elsabeth Black	Women	Canada	Gymnastics	Vault	20	1.55	56
Isabela Onyshko	Women	Canada	Gymnastics	Vault	18	1.57	50
Rose Woo	Women	Canada	Gymnastics	Vault	16	1.45	46
Shallon Olsen	Women	Canada	Gymnastics	Vault	16	1.58	52
Simona Castro	Women	Chile	Gymnastics	Vault	27	1.60	54
Chunsong Shang	Women	China	Gymnastics	Vault	20	1.43	34
Jiaxin Tan	Women	China	Gymnastics	Vault	19	1.48	36
Yan Wang	Women	China	Gymnastics	Vault	16	1.40	33
Yi Mao	Women	China	Gymnastics	Vault	16	1.51	35
Yilin Fan	Women	China	Gymnastics	Vault	16	1.48	37
Catalina Elena Escobar Gomez	Women	Colombia	Gymnastics	Vault	25	1.56	50
Ana Derek	Women	Croatia	Gymnastics	Vault	17	1.64	58
Marcia Vidiaux	Women	Cuba	Gymnastics	Vault	17	1.43	41
Sherine Elzeiny	Women	Egypt	Gymnastics	Vault	25	1.60	50
Loan His	Women	France	Gymnastics	Vault	17	1.60	51
Louise Vanhille	Women	France	Gymnastics	Vault	17	1.67	55
Marine Boyer	Women	France	Gymnastics	Vault	16	1.60	50
Marine Brevet	Women	France	Gymnastics	Vault	21	1.60	52
Oreane Lechenault	Women	France	Gymnastics	Vault	15	1.34	37
Elisabeth Seitz	Women	Germany	Gymnastics	Vault	22	1.61	57
Kim Bui	Women	Germany	Gymnastics	Vault	27	1.56	49
Pauline Schaefer	Women	Germany	Gymnastics	Vault	19	1.62	55
Sophie Scheder	Women	Germany	Gymnastics	Vault	19	1.67	56
Tabea Alt	Women	Germany	Gymnastics	Vault	16	1.58	50
Amy Tinkler	Women	Great Britain	Gymnastics	Vault	16	1.52	47
Claudia Fragapane	Women	Great Britain	Gymnastics	Vault	18	1.37	43
Elissa Downie	Women	Great Britain	Gymnastics	Vault	17	1.58	58
Rebecca Downie	Women	Great Britain	Gymnastics	Vault	24	1.56	54
Ruby Harrold	Women	Great Britain	Gymnastics	Vault	20	1.62	56
Vasiliki Millousi	Women	Greece	Gymnastics	Vault	32	1.57	45
Ana Sofia Gomez	Women	Guatemala	Gymnastics	Vault	20	1.56	46
Zsofia Kovacs	Women	Hungary	Gymnastics	Vault	16	1.58	49
Irina Sazonova	Women	Iceland	Gymnastics	Vault	24	1.60	55
Dipa Karmakar	Women	India	Gymnastics	Vault	23	1.51	47
Ellis Oreilly	Women	Ireland	Gymnastics	Vault	18	1.64	63
Carlotta Ferlito	Women	Italy	Gymnastics	Vault	21	1.60	50
Elisa Meneghini	Women	Italy	Gymnastics	Vault	19	1.50	42
Erika Fasana	Women	Italy	Gymnastics	Vault	20	1.49	44
Martina Rizzelli	Women	Italy	Gymnastics	Vault	18	1.53	47
Vanessa Ferrari	Women	Italy	Gymnastics	Vault	25	1.45	45
Toni-Ann Williams	Women	Jamaica	Gymnastics	Vault	20	1.55	52
Aiko Sugihara	Women	Japan	Gymnastics	Vault	16	1.46	35
Asuka Teramoto	Women	Japan	Gymnastics	Vault	20	1.45	37
Mai Murakami	Women	Japan	Gymnastics	Vault	20	1.46	48
Sae Miyakawa	Women	Japan	Gymnastics	Vault	16	1.45	34
Yuki Uchiyama	Women	Japan	Gymnastics	Vault	18	1.59	49
Alexa Moreno	Women	Mexico	Gymnastics	Vault	22	1.47	45
C̩line van Gerner	Women	Netherlands	Gymnastics	Vault	21	1.58	51
Eythora Thorsdottir	Women	Netherlands	Gymnastics	Vault	17	1.60	47
Lieke Wevers	Women	Netherlands	Gymnastics	Vault	24	1.67	54
Sanne Wevers	Women	Netherlands	Gymnastics	Vault	24	1.56	46
Vera van Pol	Women	Netherlands	Gymnastics	Vault	22	1.57	54
Courtney McGregor	Women	New Zealand	Gymnastics	Vault	17	1.59	47
Un Jong Hong	Women	North Korea	Gymnastics	Vault	27	1.56	47
Isabella Amado	Women	Panama	Gymnastics	Vault	20	1.55	59
Ariana Orrego	Women	Peru	Gymnastics	Vault	17	1.57	49
Katarzyna Jurkowska-Kowalska	Women	Poland	Gymnastics	Vault	24	1.61	50
Filipa Martins	Women	Portugal	Gymnastics	Vault	20	1.63	55
Catalina Ponor	Women	Romania	Gymnastics	Vault	28	1.56	47
Aliya Mustafina	Women	Russia	Gymnastics	Vault	21	1.61	48
Angelina Melnikova	Women	Russia	Gymnastics	Vault	16	1.51	44
Daria Spiridonova	Women	Russia	Gymnastics	Vault	18	1.56	45
Maria Paseka	Women	Russia	Gymnastics	Vault	21	1.61	48
Seda Tutkhalian	Women	Russia	Gymnastics	Vault	17	1.42	35
Barbora Mokosova	Women	Slovakia	Gymnastics	Vault	19	1.68	62
Teja Belak	Women	Slovenia	Gymnastics	Vault	22	1.57	48
Ana Perez	Women	Spain	Gymnastics	Vault	18	1.51	45
Emma Larsson	Women	Sweden	Gymnastics	Vault	17	1.47	40
Giulia Steingruber	Women	Switzerland	Gymnastics	Vault	22	1.60	56
Marisa Dick	Women	Trinidad and Tobago	Gymnastics	Vault	19	1.53	47
Tutya Yilmaz	Women	Turkey	Gymnastics	Vault	17	1.50	48
Angelina Kysla	Women	Ukraine	Gymnastics	Vault	25	1.58	49
Alexandra Raisman	Women	United States	Gymnastics	Vault	22	1.58	52
Gabrielle Douglas	Women	United States	Gymnastics	Vault	20	1.50	49
Lauren Hernandez	Women	United States	Gymnastics	Vault	16	1.53	48
Madison Kocian	Women	United States	Gymnastics	Vault	19	1.58	46
Simone Biles	Women	United States	Gymnastics	Vault	19	1.45	47
Oksana Chusovitina	Women	Uzbekistan	Gymnastics	Vault	41	1.53	43
Jessica Brizeida Lopez Arocha	Women	Venezuela	Gymnastics	Vault	30	1.53	47
Thi Ha Thanh Phan	Women	Vietnam	Gymnastics	Vault	24	1.63	48
AGUIRRE Gabriela	Women	Argentina	Hockey	Hockey	30	1.64	58
