Name	Gender	Year	Sport	Event	Rank	Medal
Neha Aggarwal	F	2008	Table tennis	Singles	64	
Sharath Kamal Achanta	M	2004	Table tennis	Singles	33	
Mouma Das	F	2004	Table tennis	Singles	49	
Chetan Baboor	M	2000	Table tennis	Singles	33	
Chetan Baboor	M	2000	Table tennis	Doubles	25	
Raman Subramanyan	M	2000	Table tennis	Doubles	25	
Poulomi Ghatak	F	2000	Table tennis	Singles	49	
Chetan Baboor	M	1996	Table tennis	Singles	49	
Ambika Radhika	F	1996	Table tennis	Singles	49	
Amit Kumar	M	2012	Wrestling	Featherweight freestyle	10	
Yogeshwar Dutt	M	2012	Wrestling	Lightweight freestyle	3	Bronze
Sushil Kumar	M	2012	Wrestling	Welterweight freestyle	2	Silver
Narsingh Pancham Yadav	M	2012	Wrestling	Middleweight freestyle	13	
Geeta Phogat	F	2012	Wrestling	Lightweight freestyle	13	
Yogeshwar Dutt	M	2008	Wrestling	Lightweight freestyle	9	
Sushil Kumar	M	2008	Wrestling	Welterweight freestyle	3	Bronze
Rajiv Tomer	M	2008	Wrestling	Super-heavyweight freestyle	17	
Ramesh Kumar	M	2004	Wrestling	Welterweight freestyle	10	
Mukesh Khatri	M	2004	Wrestling	Featherweight Greco-Roman	21	
Yogeshwar Dutt	M	2004	Wrestling	Featherweight freestyle	18	
Sushil Kumar	M	2004	Wrestling	Lightweight freestyle	14	
Sujeet Maan	M	2004	Wrestling	Middleweight freestyle	18	
Anuj Kumar	M	2004	Wrestling	Light-heavyweight freestyle	16	
Palwinder Singh Cheema	M	2004	Wrestling	Super-heavyweight freestyle	15	
Gurbinder Singh	M	2000	Wrestling	Lightweight Greco-Roman	13	
Pappu Jadav	M	1996	Wrestling	Flyweight Greco-Roman	17	
Ravi Kumar Katulu	M	2012	Weightlifting	Lightweight	15	
Soniya Chanu Ngangbam	F	2012	Weightlifting	Flyweight	7	
Namecrakpam Kunjarani Devi	F	2004	Weightlifting	Flyweight	4	
Thandava Murthy Muthu	M	2000	Weightlifting	Bantamweight	16	
Thing Baijan Sanamacha Chanu	F	2000	Weightlifting	Featherweight	6	
Karnam Malleswari	F	2000	Weightlifting	Light-heavyweight	3	Bronze
Badathala Adisekhar	M	1996	Weightlifting	Flyweight	18	
Raghavan Chanderasekaran	M	1996	Weightlifting	Bantamweight	11	
Sandeep Kumar	M	1996	Weightlifting	Featherweight	33	
Samsudeen Kabeer	M	1996	Weightlifting	Lightweight	23	
Satheesha Rai	M	1996	Weightlifting	Middleweight	15	
India	M	2012	Hockey	Team	12	
India	M	2004	Hockey	Team	7	
India	M	2000	Hockey	Team	7	
India	M	1996	Hockey	Team	8	
Garima Chaudhary	F	2012	Judo	Half-middleweight	17	
Divya Tewar	F	2008	Judo	Half-heavyweight	13	
Khumujam Devi	F	2008	Judo	Extra-lightweight	19	
Lourembam Brojeshori Devi	F	2000	Judo	Half-lightweight	9	
Sunith Thakur	F	1996	Judo	Half-lightweight	14	
Shah Kohli	F	1996	Judo	Heavyweight	13	
Najib Aga	M	1996	Judo	Half-lightweight	13	
Gagan Ullalmath	M	2012	Swimming	Freestyle 1500 metre	31	
Virdhawal Khade	M	2008	Swimming	Freestyle 50 metre	40	
Virdhawal Khade	M	2008	Swimming	Freestyle 100 metre	42	
Virdhawal Khade	M	2008	Swimming	Freestyle 200 metre	48	
Sandeep Sejwal	M	2008	Swimming	Breaststroke 100 metre	38	
Sandeep Sejwal	M	2008	Swimming	Breaststroke 200 metre	36	
Ankur Poseria	M	2008	Swimming	Butterfly 100 metre	57	
Rehan Poncha	M	2008	Swimming	Butterfly 200 metre	40	
Shikha Tandon	F	2004	Swimming	Freestyle 50 metre	40	
Shikha Tandon	F	2004	Swimming	Freestyle 100 metre	46	
Hakimuddin Shabbir Habibulla	M	2000	Swimming	Freestyle 200 metre	50	
Nisha Millet	F	2000	Swimming	Freestyle 200 metre	37	
Sebastian Xavier	M	1996	Swimming	Freestyle 50 metre	49	
Sangeeta Puri	F	1996	Swimming	Freestyle 50 metre	48	
Sawarn Singh	M	2012	Rowing	Single sculls	16	
Sandeep Kumar	M	2012	Rowing	Lightweight double sculls	19	
Manjit Singh	M	2012	Rowing	Lightweight double sculls	19	
Bajrang Takhar	M	2008	Rowing	Single sculls	21	
Devender Khandwal	M	2008	Rowing	Lightweight double sculls	18	
Manjit Singh	M	2008	Rowing	Lightweight double sculls	18	
Paulose Pandari Kunnel	M	2004	Rowing	Single sculls	29	
Laxmirani Majhi	F	2016	Archery	Team	6	
Bombayla Devi Laishram	F	2016	Archery	Team	6	
Deepika Kumari	F	2016	Archery	Team	6	
Deepika Kumari	F	2016	Archery	Individual	20	
